1279001  Jack    87  70  71  92
1279002  Jo      67  77  75  92
1279003  Akira   37  60  71  52
1279004  Kouichi 79  61  82  70
1279005  Georgia 77  60  75  55
1279006  Linus   88  66  75  45
1279007  Lucy    43  79  64  18
1279008  Boss    45  46  75  98
1279009  Mary    99  96  95  99
1279010  Makoto  40  25  37  27
1279011  Hiroshi 70  95  96  68
1279012  Max     34  58  52  45
1279013  Show    99  69  77  60
1279014  Kohei   81  45  46  75
1279015  Yasu    29  37  40  20
1279016  Kazu    95  97  90  95
